Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
mauritania,324,347,406,462,628,759,847,871,857,"1,069",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,793","2,055","2,164","1,847","1,945","2,092","2,132","2,072","2,027","1,986","1,780","1,746","1,777","2,051","2,362","2,936","4,009","4,328","5,138","4,725","5,637","6,782","6,721","7,331","6,615","6,182","6,414","6,826","7,472","7,894","8,464","9,126","9,564","10,649","10,697","11,470","11,938","12,510","13,567","14,112"
mauritius,197,221,278,348,578,581,722,844,"1,041","1,241","1,242","1,179","1,131","1,198","1,108","1,122","1,515","1,919","2,225","2,286","2,743","3,017","3,398","3,502","3,887","4,439","4,590","4,310","4,354","4,597","4,935","4,882","5,123","6,155","6,962","6,867","7,123","8,260","10,125","9,252","10,138","11,673","11,826","12,293","13,074","12,007","12,594","13,714","14,736","14,436","11,408","11,484","12,908","14,101","14,953","15,495","16,638","17,653","18,717","19,821"
mexico,"43,426","47,897","55,200","67,532","87,943","107,525","108,589","100,097","125,438","164,346","242,153","311,012","225,706","184,010","217,001","230,272","159,434","174,840","213,893","260,663","307,613","368,772","427,661","530,226","553,618","380,182","432,158","523,450","557,485","631,240","742,061","796,055","810,666","765,550","819,459","917,572","1,020,265","1,102,356","1,161,553","943,437","1,105,424","1,229,014","1,255,110","1,327,436","1,364,508","1,213,294","1,112,233","1,190,721","1,256,300","1,304,106","1,121,065","1,316,569","1,466,465","1,793,799","1,852,723","1,692,640","1,775,296","1,863,832","1,959,010","2,053,884"
federated states of micronesia,21,23,27,37,49,49,50,50,57,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,221,207,219,220,233,240,240,243,236,247,250,253,261,277,292,308,324,314,316,312,327,361,394,395,373,392,416,444,471,500,523,539,554,570
moldova,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,864,"1,110","1,158","1,441","1,694","1,928","1,697","1,172","1,315","1,481","1,662","1,981","2,598","2,988","3,408","4,401","6,055","5,438","6,977","8,417","8,708","9,496","9,402","7,778","7,981","9,515","11,252","11,737","11,530","13,694","14,493","16,751","18,126","19,462","20,611","22,368","24,299","26,393"
mongolia,172,189,204,235,267,311,342,392,451,510,"2,728","2,854","2,963","3,071","2,837","3,294","3,636","4,086","4,104","4,275","2,678","2,821","1,566",771,926,"1,452","1,348","1,181","1,125","1,057","1,137","1,268","1,397","1,595","1,992","2,523","3,414","4,235","5,623","4,584","7,185","10,410","12,278","12,582","12,227","11,620","11,154","11,481","13,207","14,206","13,313","15,286","17,146","20,315","23,586","25,804","27,981","29,965","32,326","34,573"
montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,966,"1,150","1,269","1,681","2,073","2,261","2,724","3,686","4,564","4,171","4,146","4,544","4,090","4,466","4,595","4,055","4,376","4,855","5,509","5,543","4,777","5,865","6,243","7,532","8,023","8,562","9,157","9,612","10,107","10,631"
morocco,"4,421","4,731","5,681","6,973","8,576","10,039","10,710","12,347","14,790","17,779","23,807","19,329","19,510","17,635","16,130","16,280","21,497","23,713","28,080","28,901","32,661","34,940","36,483","34,259","38,532","42,238","46,710","42,366","45,243","45,055","42,053","42,704","45,711","56,345","64,528","67,468","74,284","85,539","100,112","100,535","100,881","109,705","106,345","115,608","119,131","110,414","111,573","118,541","127,341","128,920","121,354","142,022","130,952","144,438","155,350","165,835","176,587","187,662","199,368","211,597"
mozambique,"3,047","3,392","3,797","4,472","4,676","4,841","4,409","4,463","4,663","4,903","4,615","3,585","3,662","3,280","3,417","4,516","5,301","2,395","2,105","2,199","3,529","3,855","2,799","2,883","2,958","3,062","4,030","4,874","5,551","6,285","5,931","5,650","5,951","6,584","7,937","8,868","9,510","10,811","12,920","12,264","11,412","14,619","16,688","17,198","17,978","16,209","12,069","13,265","15,017","15,513","14,235","16,168","18,884","20,954","21,944","23,771","25,394","27,082","28,720","32,016"
myanmar,"2,692","2,757","2,568","3,340","3,981","3,680","4,089","4,191","4,678","5,365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,122","6,400","7,688","7,087","6,878","8,826","10,688","12,051","13,502","17,745","25,313","30,675","37,851","53,250","58,374","62,656","53,250","57,338","58,808","60,285","67,051","82,568","65,631","58,264","61,723","61,466","61,176","64,944","70,365","76,178","82,373","85,757"
namibia,633,707,708,898,"1,096","1,169","1,123","1,248","1,438","1,777",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,568","2,841","3,296","3,156","3,537","3,948","3,954","4,110","3,832","3,824","3,941","3,577","3,396","4,974","6,673","7,324","7,711","8,730","8,496","8,915","11,281","12,423","13,016","12,168","12,434","11,450","10,719","12,883","13,676","12,539","10,583","12,399","12,564","12,402","13,370","14,214","15,186","15,905","16,688","17,486"
nauru,18,19,22,27,32,29,29,28,31,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,31,29,25,36,47,50,69,101,89,97,76,100,109,131,125,125,176,152,152,161,169,174,181,188,197
nepal,"1,041","1,061","1,231","1,144","1,458","1,617","1,494","1,484","1,749","1,987","2,258","2,641","2,669","2,920","3,089","3,208","3,491","3,621","4,270","4,317","4,442","4,861","4,417","4,743","4,954","5,379","5,544","6,027","5,992","6,164","6,537","6,719","6,816","7,218","8,297","9,331","10,316","11,777","14,310","14,663","18,253","21,685","21,703","22,162","22,722","24,361","24,524","28,972","33,112","34,186","33,434","36,927","41,183","40,907","43,419","46,080","49,603","54,449","59,728","65,494"
netherlands,"35,353","41,294","50,675","66,943","79,169","93,227","101,716","118,821","145,331","166,432","194,031","162,629","157,560","153,396","142,779","144,859","201,883","247,277","264,596","260,900","321,859","331,565","366,520","356,434","383,091","453,377","451,508","418,023","439,215","448,223","417,834","432,539","475,194","582,290","660,925","688,514","737,633","853,600","957,797","878,000","853,161","912,980","846,225","883,964","901,789","775,822","796,944","847,934","930,155","929,006","931,814","1,055,173","1,047,364","1,154,694","1,227,174","1,272,011","1,326,163","1,370,330","1,416,591","1,464,429"
new zealand,"6,507","7,799","9,418","12,489","14,121","13,656","13,874","15,132","18,315","21,051","22,551","23,472","23,237","22,484","22,377","22,539","27,428","36,978","45,505","44,132","45,722","43,440","41,515","44,807","52,920","62,241","69,100","68,869","56,815","58,898","54,127","53,128","62,061","82,408","101,601","113,264","109,740","134,859","135,606","122,011","145,736","167,167","175,361","187,292","200,305","176,455","186,081","203,819","209,747","210,995","210,541","249,775","245,203","253,436","257,728","248,666","259,160","270,294","281,646","293,869"
nicaragua,882,939,"1,000","1,242","1,727","1,806","2,098","2,543","2,431","1,740","1,832","2,156","2,497","2,900","3,966","3,854","5,800","3,409","1,499","2,082",519,"3,678","3,894","3,726","3,861","4,140","4,308","4,390","4,635","4,856","5,109","5,335","5,224","5,322","5,793","6,321","6,764","7,423","8,497","8,297","8,759","9,774","10,532","10,983","11,880","12,757","13,286","13,786","13,025","12,713","12,730","14,208","15,634","17,820","19,710","21,155","22,683","24,416","26,281","28,289"
niger,427,457,574,611,702,894,"1,058","1,250","1,692","2,215","3,531","3,056","2,840","2,538","2,056","2,027","2,680","3,143","3,210","3,068","3,491","3,271","3,372","3,041","1,935","2,296","2,397","2,285","2,639","2,532","2,235","2,442","2,772","3,382","3,746","4,372","4,743","5,716","7,279","7,324","7,838","8,754","9,412","10,206","10,830","9,684","10,350","11,181","12,814","12,917","13,764","14,923","15,458","16,809","19,866","21,874","24,148","26,186","28,298","30,593"
nigeria,"11,567","14,026","16,829","21,140","32,688","39,763","48,441","54,157","60,593","74,798",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62,165","60,131","52,275","56,807","80,128","132,230","172,686","187,866","209,677","57,477","67,824","73,128","93,983","102,935","130,345","169,645","222,791","266,334","335,378","302,456","374,098","419,942","467,157","521,861","576,004","494,307","405,019","375,756","421,739","474,517","432,299","441,074","476,468","363,816","187,640","188,271","192,337","211,802","236,525","264,516"
north macedonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,443","2,687","3,561","4,687","4,642","3,928","3,764","3,867","3,774","3,709","3,991","4,946","5,684","6,257","6,860","8,337","9,912","9,400","9,415","10,499","9,751","10,824","11,378","10,067","10,686","11,336","12,694","12,609","12,385","14,008","13,957","15,772","16,679","17,885","19,049","20,146","21,220","22,368"
norway,"12,730","14,476","17,220","22,342","26,876","32,566","35,576","41,070","46,016","52,548","64,439","63,597","62,647","61,627","62,058","65,417","78,693","94,231","101,901","102,634","119,791","121,872","130,838","120,579","127,132","152,031","163,520","161,357","154,230","162,384","171,456","174,240","195,915","229,385","265,267","309,979","346,914","402,646","464,915","387,974","431,052","501,361","512,777","526,014","501,737","388,160","370,957","401,745","439,789","408,743","367,633","503,368","596,298","482,950","483,727","504,276","520,593","538,234","555,165","572,965"
oman,268,315,384,506,"1,724","2,196","2,681","2,870","2,871","3,911","7,269","8,849","9,285","9,733","10,726","11,916","9,433","9,890","9,613","10,743","13,395","13,000","14,274","14,321","14,808","15,821","17,512","18,154","16,044","17,833","22,259","22,206","23,066","24,734","28,379","35,507","42,578","48,300","69,805","55,454","64,994","77,497","87,409","89,936","92,699","78,711","75,129","80,857","91,506","88,061","75,909","87,324","109,853","105,896","106,943","104,351","107,339","113,347","119,604","126,247"
pakistan,"12,191","12,967","7,656","8,210","10,819","13,653","16,009","18,389","21,654","23,936","38,616","45,681","49,932","46,619","50,612","50,607","51,827","54,171","62,385","65,042","65,276","74,158","79,338","83,969","84,642","98,917","103,296","101,848","101,381","96,008","99,421","96,784","98,169","112,507","132,206","145,209","161,871","184,141","202,204","187,074","196,712","230,577","250,094","258,674","271,422","299,930","313,623","339,229","356,163","321,071","300,410","348,481","374,850","337,754","373,078","373,078","373,078","373,078","373,078","373,078"
palau,9,10,11,12,13,15,16,17,19,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,159,163,155,166,186,191,196,199,184,184,195,215,226,245,283,303,290,288,282,259,236,248,275,306,333,352,370,387,404
panama,"1,147","1,294","1,422","1,626","1,859","2,082","2,211","2,344","2,779","3,181","4,253","4,814","5,319","5,461","5,700","6,030","6,266","6,294","5,441","5,456","5,931","6,522","7,414","8,096","8,633","8,825","10,406","11,245","12,191","12,775","12,958","13,166","13,685","14,422","15,811","17,244","19,109","22,072","26,072","28,104","30,513","35,950","41,902","47,261","51,740","56,062","60,017","64,468","67,294","69,722","57,087","67,407","76,523","83,382","87,688","91,675","97,249","103,161","109,433","116,087"
papua new guinea,726,811,970,"1,467","1,661","1,536","1,652","1,819","2,211","2,543","4,087","4,011","3,805","3,799","3,509","3,250","3,535","3,885","5,400","5,238","4,757","5,596","6,466","7,349","8,077","7,149","7,608","7,272","5,558","5,072","5,169","4,531","4,387","5,488","6,279","7,339","8,355","9,545","11,671","11,619","14,251","17,985","21,295","21,261","23,211","21,723","20,759","22,743","24,110","24,751","23,848","26,113","31,653","30,729","31,654","32,835","33,924","35,310","36,550","37,688"
paraguay,525,587,680,880,"1,178","1,336","1,501","1,849","2,262","3,020","4,095","5,220","5,470","6,069","4,931","4,214","5,032","4,216","5,584","4,046","4,904","6,984","7,158","7,249","7,871","9,062","9,788","9,965","9,260","8,837","8,856","8,496","7,196","7,691","9,624","10,738","13,430","17,856","24,615","22,355","27,129","33,737","33,296","38,651","40,378","36,211","36,090","38,997","40,225","37,925","35,432","39,951","41,953","43,118","43,989","45,465","48,088","50,745","53,554","56,532"
peru,"5,861","6,539","7,248","8,667","10,928","13,346","12,729","11,475","9,851","12,583","20,190","24,398","24,259","18,863","19,442","16,823","25,241","41,681","32,978","40,699","28,326","33,988","35,377","34,330","43,225","51,380","53,412","56,281","53,918","48,719","50,414","51,034","53,954","58,537","66,126","74,232","87,459","102,187","121,308","121,892","149,230","171,369","193,276","203,042","203,785","192,850","196,348","216,578","227,583","233,004","206,461","226,268","244,419","267,482","289,070","303,293","319,095","333,627","348,299","364,090"
philippines,"7,413","8,209","8,883","11,172","15,269","16,502","18,944","21,770","25,158","30,471","37,082","40,735","42,441","37,953","35,860","34,973","34,129","37,932","43,293","48,652","50,508","51,784","60,422","62,037","73,159","84,644","94,650","94,106","74,492","85,640","83,667","78,921","84,307","87,039","95,002","107,420","127,653","155,980","181,007","176,132","208,369","234,217","261,920","283,903","297,484","306,446","318,627","328,481","346,842","376,823","361,751","394,087","404,353","437,055","461,617","497,495","538,789","586,087","638,178","695,311"
poland,"27,665","30,630","33,866","40,088","44,981","47,893","53,394","59,219","67,066","75,076","56,908","53,921","65,520","75,792","75,893","71,137","74,053","64,040","68,963","67,237","62,401","80,863","89,166","90,828","104,213","139,800","157,485","157,987","172,929","168,657","172,151","191,403","199,694","218,561","256,454","307,158","345,898","429,715","535,612","440,954","478,111","527,848","498,149","518,180","542,266","479,729","472,883","528,497","594,641","602,592","605,930","689,253","695,734","809,706","908,583","979,960","1,040,634","1,102,183","1,167,004","1,234,508"
portugal,"8,000","9,081","11,086","14,892","17,274","19,096","20,064","21,151","23,179","26,265","32,607","32,477","30,678","28,267","25,951","27,231","37,869","47,386","55,435","59,806","79,439","89,904","108,119","95,139","99,692","118,182","122,655","117,211","124,124","127,597","118,658","121,605","134,700","165,185","189,296","197,363","208,767","240,524","263,388","244,402","238,639","245,383","216,674","226,681","230,138","199,059","206,249","220,785","242,203","240,142","229,435","256,226","257,101","289,781","308,590","321,440","336,265","347,893","360,829","374,432"
puerto rico,"5,647","6,329","7,002","7,685","8,198","8,969","9,911","11,165","12,750","14,436","14,436","15,956","16,764","17,277","19,163","20,289","21,969","23,878","26,178","28,267","30,604","32,287","34,630","36,923","39,691","42,647","45,341","48,187","54,086","57,841","61,702","69,669","72,546","75,834","80,322","83,915","87,276","89,524","93,639","96,386","98,381","100,352","101,565","102,450","102,446","103,376","104,337","103,446","100,958","105,126","103,131","106,427","113,567","117,902","120,978","122,522","124,775","128,477","131,641","134,823"
qatar,539,714,"1,030","1,503","1,935","2,470","3,206","3,509","3,932","5,633","6,665","7,374","6,467","5,506","5,708","5,339","4,214","4,441","4,260","4,502","6,266","5,579","6,384","5,804","5,946","6,861","7,761","9,976","8,488","11,266","18,085","17,498","19,334","23,716","30,651","44,636","58,629","75,987","112,621","88,196","119,707","167,775","186,834","198,728","206,225","161,740","151,732","161,099","183,335","176,371","144,411","179,732","235,709","213,003","221,452","222,776","236,073","256,377","269,131","278,701"
romania,"12,712","15,081","17,399","20,272","21,233","22,874","25,709","27,790","32,761","35,353","46,053","55,319","55,375","48,401","39,111","48,286","52,290","58,477","60,538","54,236","38,516","29,070","19,779","26,624","30,376","35,838","35,692","35,644","42,543","35,953","37,447","40,396","46,035","57,790","75,059","98,547","122,114","174,831","215,567","174,572","170,329","192,846","179,228","189,839","199,989","177,878","185,337","210,530","243,651","251,652","252,372","286,783","296,928","350,847","384,148","403,395","424,375","446,232","470,105","496,488"
russia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71,603","196,227","293,768","335,777","412,685","433,704","287,672","209,657","278,264","328,475","370,062","461,518","633,294","817,717","1,060,901","1,393,416","1,779,109","1,307,927","1,633,111","2,046,621","2,191,486","2,288,428","2,048,837","1,356,703","1,280,648","1,575,140","1,653,005","1,695,724","1,488,118","1,828,927","2,295,527","2,059,762","2,161,205","2,076,396","2,085,148","2,153,274","2,227,172","2,303,677"
rwanda,241,289,326,404,530,639,712,834,"1,012","1,239","1,493","1,695","1,808","1,932","1,851","2,199","2,490","2,765","2,959","3,090","2,954","2,179","2,313","2,231","1,418","1,470","1,593","2,144","2,290","2,131","2,049","1,967","1,963","2,139","2,388","2,945","3,318","4,069","5,183","5,675","6,124","6,885","7,654","7,821","8,240","8,546","8,695","9,253","9,638","10,349","10,174","11,066","13,313","14,331","14,251","14,771","15,472","16,308","17,239","18,430"
samoa,40,48,56,74,83,83,76,87,96,109,127,119,122,113,111,106,112,124,138,141,182,176,193,198,158,242,258,280,286,262,271,273,289,342,418,486,516,568,684,618,680,744,773,798,797,824,844,885,878,913,869,844,833,938,"1,068","1,160","1,217","1,269","1,323","1,392"
san marino,78,85,99,120,136,156,154,176,215,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,008","1,060","1,148","1,462","1,714","1,788","1,910","2,189","2,403","2,062","1,883","1,813","1,606","1,678","1,674","1,420","1,468","1,528","1,656","1,616","1,543","1,857","1,833","2,003","2,063","2,047","2,114","2,181","2,253","2,329"
são tomé and príncipe,38,38,42,56,58,61,52,50,55,66,69,84,81,76,79,83,117,117,100,99,120,108,96,127,132,104,136,93,73,78,77,72,80,96,104,125,133,145,188,201,191,228,231,269,295,262,294,325,387,416,476,529,546,684,796,864,962,"1,046","1,130","1,222"
saudi arabia,"5,377","7,185","9,664","14,947","45,413","46,773","64,006","74,189","80,267","111,858","164,540","184,292","153,240","129,181","119,631","103,894","86,886","85,582","88,138","95,217","117,474","132,047","136,905","132,790","134,995","143,152","158,451","165,742","146,776","161,717","189,515","184,138","189,606","215,808","258,742","328,205","376,398","415,687","519,797","429,098","528,207","676,635","741,850","753,864","766,606","669,485","666,000","714,994","846,584","838,565","734,271","874,157","1,108,571","1,067,583","1,085,358","1,083,749","1,122,465","1,180,930","1,242,552","1,307,069"
senegal,952,984,"1,190","1,368","1,543","2,078","2,107","2,157","2,403","2,998","4,338","3,934","3,850","3,435","3,350","3,668","5,188","6,241","6,173","6,083","7,078","6,955","7,435","7,014","4,746","6,026","6,300","5,867","6,416","6,599","6,016","6,508","7,001","8,767","10,072","11,015","11,699","13,996","16,852","16,128","16,134","17,811","17,672","18,919","19,802","17,777","19,035","20,989","23,127","23,405","24,534","27,584","27,750","30,625","32,892","34,728","36,784","39,299","42,114","44,931"
serbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,431","13,650","17,997","23,627","26,718","28,143","33,421","45,121","54,117","46,949","43,067","51,274","45,111","50,456","49,114","41,297","42,225","45,973","52,788","53,865","55,874","65,830","66,798","81,343","89,074","92,549","99,945","108,090","115,392","123,734"
seychelles,23,27,38,46,53,59,61,80,106,157,147,154,148,147,151,169,208,249,284,305,369,374,434,474,486,508,503,563,608,623,615,622,698,706,839,919,"1,016","1,034",998,847,970,"1,018","1,060","1,328","1,388","1,432","1,568","1,675","1,777","1,867","1,384","1,490","2,018","2,187","2,168","2,198","2,284","2,388","2,498","2,613"
sierra leone,451,480,529,604,695,743,690,787,"1,015","1,170","2,708","2,903","3,264","2,838","3,283","2,794","2,092","1,823","2,988","2,745","1,509","1,812","1,580","1,786","2,118","2,026","2,188","1,974","1,562","1,555","1,498","1,726","1,990","2,218","2,339","2,738","3,144","3,451","3,926","3,795","4,174","4,799","5,746","6,736","6,521","6,750","6,038","5,823","6,390","6,519","6,682","7,165","7,119","6,397","7,653","8,386","8,726","9,142","9,592","10,067"
singapore,"1,919","2,270","2,950","4,228","5,261","5,787","6,066","6,694","8,048","9,702","12,082","14,367","15,879","18,011","19,563","18,573","18,780","21,629","26,551","31,436","38,892","45,465","52,131","60,604","73,689","87,813","96,293","100,124","85,728","86,287","96,077","89,794","92,538","97,646","115,034","127,808","148,627","180,942","193,617","194,150","239,808","279,357","295,093","307,576","314,864","307,999","319,646","343,673","377,124","376,162","349,166","436,591","509,018","505,440","547,387","564,774","585,946","611,464","639,122","667,781"
slovakia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13,906","16,046","20,297","21,871","22,037","22,917","20,890","20,711","21,384","24,849","33,864","43,023","48,912","57,480","77,260","97,122","89,246","91,187","99,688","94,784","99,136","101,739","89,188","90,322","95,944","106,660","105,855","107,646","120,672","116,020","132,947","140,636","147,031","154,958","162,291","169,902","177,033"
slovenia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19,285","16,637","16,857","21,399","21,480","20,769","22,080","22,668","20,262","20,693","23,263","29,399","34,190","36,002","39,293","47,886","55,503","49,921","47,832","51,190","46,196","47,868","49,527","42,714","44,279","48,136","53,713","53,916","53,342","61,570","59,975","69,168","72,463","75,224","79,019","82,537","86,106","89,962"
solomon islands,32,35,38,51,73,65,72,82,98,130,183,194,193,181,182,166,148,155,176,173,215,228,269,301,403,469,511,527,458,488,420,410,346,353,398,477,539,620,699,736,847,"1,050","1,185","1,286","1,336","1,308","1,379","1,470","1,615","1,619","1,536","1,523","1,566","1,661","1,777","1,898","2,020","2,131","2,246","2,371"
somalia,341,347,448,484,573,757,871,441,500,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,022","5,183","5,869","6,443","6,841","7,391","8,252","7,873","8,655","8,628","9,484","10,203","10,969","12,134","12,994","14,144","15,567","16,976","18,253"
south africa,"17,907","19,765","20,753","28,445","35,729","36,948","35,475","39,400","45,328","55,937","89,412","93,150","85,897","96,205","84,838","64,481","73,399","96,533","104,010","108,070","126,027","135,227","146,970","147,236","153,569","171,736","163,340","169,004","152,885","151,426","151,855","135,527","129,385","197,017","256,188","288,749","304,055","332,650","316,491","331,184","417,315","458,708","434,400","400,877","381,195","346,663","323,493","381,317","405,093","389,245","337,876","420,778","406,755","380,592","400,191","410,338","424,241","439,310","455,523","472,093"
south sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17,340","11,267","14,947","15,178","15,326","2,419","1,302","2,687","4,044","5,423","5,940","8,037","7,186","5,423","3,998","6,485","6,892","7,282","7,991"
spain,"39,801","45,263","57,417","76,365","94,447","111,435","115,065","128,590","155,939","208,351","231,048","204,843","197,890","173,072","172,597","181,847","251,618","318,787","374,535","413,106","536,322","577,166","630,910","529,980","531,801","614,713","642,480","590,500","619,541","635,025","598,367","627,803","708,437","907,736","1,069,344","1,155,306","1,261,914","1,476,920","1,635,936","1,494,963","1,429,155","1,487,307","1,331,838","1,362,207","1,380,600","1,206,287","1,242,673","1,321,288","1,432,292","1,403,651","1,288,751","1,462,216","1,447,636","1,620,558","1,722,227","1,799,511","1,886,218","1,961,594","2,037,746","2,117,209"
sri lanka,"2,460","2,518","2,812","3,060","3,809","3,941","3,749","4,242","2,907","3,550","5,194","5,404","5,834","6,298","7,382","7,302","7,826","8,149","8,518","8,550","9,787","10,716","11,553","12,351","14,245","15,127","16,592","18,544","19,050","19,143","20,007","19,236","20,238","22,352","24,423","28,880","33,447","38,270","48,177","49,750","58,643","67,725","70,392","76,934","82,483","85,091","88,000","94,376","94,484","89,015","84,304","88,609","74,584","83,723","98,964","98,964","98,964","98,964","98,964","98,964"
saint kitts and nevis,21,25,30,31,41,43,37,38,43,50,58,69,79,78,91,101,119,136,161,179,203,201,223,243,272,293,312,351,366,389,421,458,481,469,507,547,644,689,778,774,779,836,825,875,953,957,"1,007","1,058","1,076","1,107",884,859,981,"1,056","1,117","1,129","1,175","1,229","1,287","1,350"
saint lucia,30,35,40,45,61,71,73,81,95,115,170,194,183,197,251,284,340,375,429,486,579,613,674,684,713,762,788,805,877,921,932,892,899,987,"1,066","1,135","1,268","1,331","1,427","1,400","1,483","1,569","1,598","1,660","1,749","1,808","1,869","1,999","2,061","2,095","1,499","1,867","2,343","2,430","2,523","2,632","2,753","2,879","3,003","3,124"
saint vincent and the grenadines,21,23,32,35,38,38,37,43,54,63,89,110,123,132,146,157,173,189,216,232,259,275,300,309,312,341,358,375,403,421,427,461,488,508,549,580,643,713,731,714,720,713,727,766,771,786,814,844,884,910,864,888,970,"1,071","1,162","1,242","1,303","1,365","1,430","1,497"
sudan,"1,234","1,339","1,659","2,134","2,600","3,242","4,043","4,751","5,112","5,646","9,095","6,530","4,748","6,485","7,992","5,547","7,400","11,964","9,551","16,853","2,245","2,528","3,100","5,246","5,961","6,694","8,377","10,241","10,924","10,714","13,134","15,716","18,137","21,355","26,646","35,183","45,264","59,440","64,833","54,812","65,716","66,448","48,948","52,892","60,726","64,534","64,888","48,906","33,590","31,484","35,237","35,142","33,517","36,998","28,270","31,506","36,362","42,730","47,008","50,616"
suriname,356,389,424,465,562,638,693,879,"1,008","1,072","1,276","1,427","1,469","1,419","1,387","1,402","1,430","1,573","1,864","2,177",577,637,590,465,523,993,"1,234","1,322","1,588","1,308","1,355","1,167","1,474","1,729","2,000","2,393","2,812","3,144","3,783","4,150","4,677","4,735","5,332","5,510","5,612","5,126","3,317","3,592","3,996","4,016","2,912","3,084","3,631","3,445","4,458","4,506","4,685","4,966","8,743","11,815"
sweden,"35,404","38,633","45,499","55,213","61,354","77,036","83,056","87,801","97,072","114,679","139,571","127,406","112,404","103,289","107,628","112,593","148,766","180,937","204,691","215,436","258,395","270,629","281,588","212,646","228,703","267,054","291,954","268,252","270,891","274,319","262,904","242,498","267,373","334,074","384,548","391,691","422,528","490,052","514,617","434,313","492,753","570,541","549,742","584,128","577,730","501,698","514,218","536,084","551,312","532,169","545,148","637,187","579,896","585,490","610,118","620,297","649,462","677,464","704,540","732,485"
switzerland,"22,953","27,583","33,831","45,496","52,433","60,111","62,874","67,152","93,912","105,563","122,466","112,129","114,891","114,517","109,400","110,965","159,074","199,086","215,360","208,135","265,911","269,003","279,764","272,006","301,246","353,094","340,241","294,824","303,238","297,581","279,305","286,780","309,579","362,132","403,461","418,265","441,898","491,075","566,938","553,873","598,339","715,864","686,553","706,748","726,634","693,805","687,771","695,544","725,910","721,867","741,288","814,699","828,522","894,867","936,738","947,125","990,523","1,028,968","1,074,152","1,113,974"
syria,"1,756","2,063","2,381","2,550","4,090","5,311","6,388","6,991","8,384","10,077","12,980","16,652","17,415","18,649","19,171","21,177","25,428","32,497","16,538","9,849","12,303","12,738","13,263","13,796","15,105","16,556","17,761","16,573","16,144","16,785","19,861","20,979","22,758","21,702","25,204","28,881","33,824","40,488","52,631","53,939","60,043","60,043","60,043","60,043","60,043","60,043","60,043","60,043","60,043","60,043","60,043","60,043","60,043","60,043","60,043","60,043","60,043","60,043","60,043","60,043"
taiwan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42,285","48,969","49,535","54,148","61,071","63,617","78,195","105,039","126,473","152,704","166,622","187,140","222,911","236,339","256,247","279,059","292,494","303,284","279,964","303,830","330,680","299,276","307,439","317,381","346,924","374,060","386,450","406,907","415,901","390,829","444,281","483,974","495,610","512,943","535,328","534,515","543,081","591,687","610,690","613,512","676,861","776,965","765,624","757,335","782,441","804,889","848,398","888,670","920,008","940,950"
