Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
bolivia,"1,010","1,094","1,279","1,249","2,099","2,399","2,749","2,765","3,020","3,274","3,589","3,440","3,813","3,609","3,752","4,059","3,970","4,323","4,598","4,716","4,868","5,335","5,635","5,724","5,974","6,707","7,385","7,919","8,490","8,269","8,385","8,155","7,917","8,092","8,785","9,573","11,520","13,216","16,792","17,464","19,786","24,135","27,282","30,883","33,237","33,241","34,189","37,782","40,581","41,193","36,897","40,701","44,329","45,464","48,404","56,339","65,851","65,851","65,851","65,851"
bosnia and herzegovina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,584","4,578","5,281","5,766","5,568","5,801","6,728","8,499","10,157","11,223","12,865","15,779","19,113","17,614","17,176","18,644","17,227","18,179","18,559","16,404","17,117","18,326","20,484","20,483","20,226","23,673","24,535","27,592","28,795","28,807","30,214","31,730","33,328","35,019"
botswana,67,88,115,169,236,274,297,383,456,595,"1,174","1,037","1,094","1,208","1,200","1,117","1,515","2,374","3,082","3,441","3,799","3,802","3,928","3,957","4,258","4,805","4,926","5,011","4,808","5,413","5,682","5,460","5,395","7,469","8,819","9,833","9,919","10,566","10,731","10,118","12,637","15,111","13,907","14,272","15,470","13,531","15,083","16,105","17,032","16,696","14,930","18,750","20,321","19,411","19,356","19,400","20,951","22,347","24,148","26,371"
brazil,"35,214","39,332","50,624","71,673","91,888","108,051","127,741","148,672","168,803","186,095","145,819","167,583","179,166","143,652","142,957","226,938","263,256","286,539","320,105","439,434","455,335","399,249","382,465","429,184","546,764","770,860","851,146","883,862","864,307","599,642","655,454","559,982","509,798","558,232","669,290","891,633","1,107,628","1,397,114","1,695,855","1,669,204","2,208,704","2,614,027","2,464,053","2,471,718","2,456,055","1,800,046","1,796,622","2,063,519","1,916,934","1,873,286","1,476,092","1,670,650","1,951,849","2,191,137","2,171,337","2,125,958","2,186,983","2,297,360","2,414,121","2,542,873"
brunei,225,248,340,544,"1,348","1,467","1,787","2,176","2,439","3,522",NA,NA,NA,NA,NA,"5,470","3,727","4,384","4,177","4,652","5,574","5,949","6,256","6,327","6,795","8,098","8,156","7,974","6,061","6,544","6,650","6,206","6,475","7,266","8,723","10,561","12,710","13,571","15,949","11,892","13,707","18,525","19,048","18,094","17,098","12,930","11,400","12,128","13,567","13,469","12,006","14,006","16,682","15,095","15,463","16,007","16,656","17,532","18,434","19,636"
bulgaria,"9,000","8,897","10,407","12,409","13,495","11,908","12,625","12,908","13,982","9,408","37,751","40,718","42,467","43,641","46,358","39,692","35,130","40,721","66,546","67,774","29,882","2,928","11,882","6,449","11,338","18,992","12,295","11,317","15,031","13,628","13,246","14,183","16,403","21,146","26,158","29,868","34,380","44,432","54,476","52,024","50,690","57,682","54,297","55,820","57,081","50,766","53,929","59,288","66,318","68,639","70,658","84,477","90,719","102,434","112,232","117,007","123,066","129,562","136,128","143,103"
burkina faso,450,459,587,679,748,890,853,"1,031","1,328","1,782","2,386","2,076","1,934","1,767","1,579","1,746","2,290","2,665","2,942","2,942","3,488","3,526","3,775","3,599","2,164","2,676","2,909","2,753","3,155","3,388","2,961","3,190","3,620","4,740","5,449","6,150","6,548","7,627","9,450","9,440","10,118","12,078","12,569","13,444","13,947","11,833","12,829","14,094","15,916","16,092","17,837","19,747","19,588","21,181","23,975","27,056","29,624","31,525","33,834","36,393"
burundi,245,252,246,305,346,414,456,542,612,791,951,989,"1,045","1,106","1,005","1,170","1,233","1,161","1,088","1,131","1,131","1,167","1,082",938,924,"1,000",868,972,893,866,870,877,825,785,915,"1,117","1,273","1,356","1,612","1,775","2,032","2,236","2,333","2,456","2,706","3,104","2,960","3,172","3,037","3,009","3,089","3,356","3,922","4,246","4,743","6,745","8,419","9,244","9,738","9,917"
cape verde,64,72,82,101,101,118,110,103,119,127,157,187,149,144,146,164,212,264,322,332,413,443,479,431,450,570,611,609,648,693,699,791,867,"1,105","1,263","1,395","1,452","1,650","1,960","1,852","1,825","2,047","1,913","2,029","2,042","1,750","1,850","1,997","2,205","2,251","1,831","2,053","2,309","2,588","2,726","2,786","2,979","3,190","3,410","3,647"
cambodia,774,776,800,710,711,746,799,738,806,768,NA,NA,NA,NA,NA,NA,205,141,276,346,898,"2,007","2,435","2,422","2,760","3,430","3,509","3,462","3,132","3,522","3,707","4,154","4,507","5,054","5,879","7,058","8,342","10,117","12,162","12,490","13,796","16,017","17,829","19,806","22,040","24,217","26,591","29,394","33,181","36,682","34,898","36,797","39,838","43,304","47,328","49,799","53,055","56,857","61,248","66,025"
